,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2012-12-05_crr_3756.txt,63577,63577,63577,63577,63577,63577,63560,63560,39391,39391,39391,39391,38937,38937,38927,38927,37969,37969,37969,37969,37969,37969,0,0,1.0,1.0,0.9997431748722296,0.9997431748722296,1.0,1.0
47_2012-12-10_crr.txt,259630,259630,259630,259630,259630,259630,259542,259542,259542,259542,257515,257515,4156,4156,4136,4136,3801,3801,1048,1048,1048,1048,2,2,0.2757169166008945,0.2757169166008945,0.9951876804619828,0.9951876804619828,1.0,1.0
47_2012-12-11_crr.txt,420767,420767,420767,420767,417800,417800,417652,417652,417652,417652,417652,417652,2869,2869,2848,2848,1739,1739,1739,1739,1740,1740,0,0,1.0,1.0,0.9926803764377832,0.9926803764377832,0.9929485915007592,0.9929485915007592
47_2012-12-12_crr.txt,612712,612712,612712,612712,607695,607695,607696,607696,458977,458977,458977,458977,451753,451753,451225,451225,449911,449911,441403,441403,441403,441403,4,4,0.9810895932751144,0.9810895932751144,0.9988312197151984,0.9988312197151984,0.9918118137069292,0.9918118137069292
47_2012-12-12_crr_4028.txt,420767,420767,420767,420767,417800,417800,417652,417652,417652,417652,417652,417652,2869,2869,2848,2848,1739,1739,1739,1739,1740,1740,0,0,1.0,1.0,0.9926803764377832,0.9926803764377832,0.9929485915007592,0.9929485915007592
47_2012-12-18_crr.txt,342263,342263,342263,342263,340927,340927,340838,340838,112917,112917,112917,112917,112422,112422,112393,112393,110571,110571,110571,110571,110571,110571,0,0,1.0,1.0,0.9997420433722936,0.9997420433722936,0.9960965690127184,0.9960965690127184
47_2012-12-19_crr.txt,408392,408392,408392,408392,408392,408392,408401,408401,387907,387907,387907,387907,382650,382650,378251,378251,374525,374525,353155,353155,353155,353155,7,7,0.9429410586743208,0.9429410586743208,0.9885038546975042,0.9885038546975042,1.0,1.0
47_2012-12-20_crr.txt,290898,290898,290898,290898,287444,287444,287363,287363,287363,287363,286385,286385,278708,278708,278037,278037,272138,272138,229614,229614,229614,229614,6,6,0.8437410431472268,0.8437410431472268,0.997592462362042,0.997592462362042,0.9881264223198508,0.9881264223198508
47_2012-12-27_crr.txt,425876,425876,425876,425876,422280,422280,422193,422193,293962,293962,293962,293962,290001,290001,288913,288913,279211,279211,249742,249742,249742,249742,5,5,0.8944561639763476,0.8944561639763476,0.9962482887990042,0.9962482887990042,0.9915562276343348,0.9915562276343348
47_2013-03-01_crr.txt,119731,119731,119731,119731,119338,119338,119290,119290,119290,119290,119290,119290,1188,1188,1188,1188,1188,1188,1188,1188,1189,1189,0,0,1.0,1.0,1.0,1.0,0.99671764204759,0.99671764204759
47_2013-03-05_crr.txt,167738,167738,167738,167738,167738,167738,167650,167650,167650,167650,167650,167650,43095,43095,43075,43075,42905,42905,28170,28170,28170,28170,2,2,0.6565668337023657,0.6565668337023657,0.9995359090381716,0.9995359090381716,1.0,1.0
47_2013-03-06_crr.txt,146723,146723,146723,146723,144352,144352,144291,144291,144291,144291,144291,144291,32,32,32,32,32,32,32,32,33,33,0,0,1.0,1.0,1.0,1.0,0.9838402977038364,0.9838402977038364
47_2013-03-06_crr_3773.txt,34003,34003,34003,34003,33360,33360,33352,33352,33352,33352,33241,33241,35,35,35,35,35,35,35,35,36,36,0,0,1.0,1.0,1.0,1.0,0.9810899038320148,0.9810899038320148
47_2013-03-12_crr.txt,209514,209514,209514,209514,168149,168149,168097,168097,56862,56862,56862,56862,56552,56552,56350,56350,55516,55516,55516,55516,55516,55516,0,0,1.0,1.0,0.9964280662045552,0.9964280662045552,0.8025668929045314,0.8025668929045314
47_2013-03-13_crr.txt,68200,68200,68200,68200,65462,65462,65420,65420,65420,65420,65420,65420,21,21,21,21,21,21,21,21,22,22,0,0,1.0,1.0,1.0,1.0,0.9598533724340176,0.9598533724340176
47_2013-04-02_crr.txt,198069,198069,198069,198069,194886,194886,194860,194860,46147,46147,46147,46147,45585,45585,45267,45267,44858,44858,44858,44858,44857,44857,0,0,1.0,1.0,0.9930240210595592,0.9930240210595592,0.9839298426305984,0.9839298426305984
47_2013-04-03_crr.txt,80645,80645,80645,80645,80645,80645,80610,80610,80610,80610,80610,80610,2975,2975,2975,2975,2975,2975,2975,2975,2976,2976,0,0,1.0,1.0,1.0,1.0,1.0,1.0
47_2013-04-03_crr_3783.txt,61969,61969,61969,61969,61394,61394,61380,61380,61380,61380,61232,61232,13,13,13,13,13,13,13,13,14,14,0,0,1.0,1.0,1.0,1.0,0.9907211670351304,0.9907211670351304
